电影名称,导演,主演,评分,评分人数,引述
英雄本色,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,8.7,144355,英雄泪短，兄弟情长。 
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,8.5,271929,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
雨中曲,Stanley Donen / Gene Kelly,Gene Kelly / Donald O'Connor / ...,8.9,90585,骨灰级歌舞片。
傲慢与偏见,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,8.4,290971,爱是摈弃傲慢与偏见之后的曙光。
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,8.7,124953,任何信念的力量，都无法改变命运。
完美的世界,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,9.0,76355,坏人的好总是比好人的好来得更感人。
纵横四海,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,8.7,137911,香港浪漫主义警匪动作片的巅峰之作。
萤火之森,大森贵弘 Takahiro Omori,佐仓绫音 Ayane Sakura / 内山昂辉 K...,8.7,149762,触不到的恋人。
玩具总动员3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,8.7,186536,跨度十五年的欢乐与泪水。
二十二,郭柯 Ke Guo,,8.8,79462,
7号房的礼物,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,8.7,165602,《我是山姆》的《美丽人生》。
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,8.6,263544,10年的完美句点。
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,8.6,183766,对爱的执着，可以超越一切。
我是山姆,杰茜·尼尔森 Jessie Nelson,Sean Penn / Dakota Fanning / Mi...,8.8,98676,爱并不需要智商 。
花样年华,王家卫 Kar Wai Wong,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,8.5,236906,偷情本没有这样美。
浪潮,丹尼斯·甘塞尔 Dennis Gansel,尤尔根·沃格尔 Jürgen Vogel ...,8.7,127040,世界离独裁只有五天。
香水,汤姆·提克威 Tom Tykwer,本·卫肖 Ben Whishaw / 艾伦·瑞克...,8.4,266623,一个单凭体香达到高潮的男人。
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,,8.4,260554,松鼠才是角儿。
追随,克里斯托弗·诺兰 Christopher Nolan,杰里米·西奥伯德 Jeremy...,8.9,78475,诺兰的牛逼来源于内心散发出的恐惧。
朗读者,史蒂芬·戴德利 Stephen Daldry,凯特·温丝莱特 Kate Winslet ...,8.5,270837,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
